python-matplotlib 3.3.0-1
python-mistune 0.8.4-3
python-more-itertools 8.4.0-1
python-msgpack 1.0.0-1
python-numpy 1.19.0-1
python-ordered-set 3.1.1-2
python-packaging 20.4-1
python-pandocfilters 1.4.2-4
python-parso 0.7.0-1
python-pep517 0.8.2-1
python-pexpect 4.8.0-1
python-pickleshare 0.7.5-3
python-pip 20.1.1-1
python-pivy 0.6.5-1
python-ply 3.11-5
python-progress 1.5-3
python-prometheus_client 0.8.0-2
python-prompt_toolkit 3.0.5-1
python-psutil 5.7.0-1
python-ptyprocess 0.6.0-4
python-pyaes 1.6.1-5
python-pycparser 2.20-1
python-pygments 2.6.1-2
python-pyparsing 2.4.7-1
python-pypdf2 1.26.0-2
python-pyqt5 5.15.0-3
python-pyqt5-sip 12.8.0-1
python-pyrsistent 0.16.0-1
